dates,sentiments
2020-01-01,-0.013623978201634877
2020-01-02,-0.013513513513513514
2020-01-03,-0.012
2020-01-04,-0.002638522427440633
2020-01-05,-0.01
2020-01-06,-0.017761989342806393
2020-01-07,-0.009259259259259259
2020-01-08,-0.03417935702199661
2020-01-09,-0.035932138772398016
2020-01-10,-0.02071192313750197
2020-01-11,-0.015017956252040483
2020-01-12,-0.015471167369901548
2020-01-13,-0.013071895424836602
2020-01-14,-0.029275733123400906
2020-01-15,-0.01881917020135537
2020-01-16,-0.028658691779078645
2020-01-17,-0.02727640995633974
2020-01-18,-0.026542831549667627
2020-01-19,-0.027964244721922715
2020-01-20,-0.0163265306122449
2020-01-21,-0.01838134947152444
2020-01-22,-0.024015513126491646
2020-01-23,-0.02865118069815195
2020-01-24,-0.0223209068598808
2020-01-25,-0.02385174853043738
2020-01-26,-0.0232650363516193
2020-01-27,-0.028108709846611648
2020-01-28,-0.025891908097353575
2020-01-29,-0.02593460432420918
2020-01-30,-0.021995648991949633
2020-01-31,-0.03128047408296452
2020-02-01,-0.02730336305907705
2020-02-02,-0.026853421357837453
2020-02-03,-0.025605050859347597
2020-02-04,-0.02760811140972392
2020-02-05,-0.024112116991643454
2020-02-06,-0.03303724481845099
2020-02-07,-0.02453461439478425
2020-02-08,-0.029260251390892233
2020-02-09,-0.024310671437592087
2020-02-10,-0.02541156606162938
2020-02-11,-0.024719101123595506
2020-02-12,-0.03372153658960542
2020-02-13,-0.031672382489408915
2020-02-14,-0.025339096735728126
2020-02-15,-0.028025870033877427
2020-02-16,-0.03172106435968017
2020-02-17,-0.03191099156376085
2020-02-18,-0.029261155815654718
2020-02-19,-0.0321377331420373
2020-02-20,-0.020147921448610048
2020-02-21,-0.03473152633206225
2020-02-22,-0.03376133608691748
2020-02-23,-0.029626146249706088
2020-02-24,-0.03655703631250764
2020-02-25,-0.0320386016157956
2020-02-26,-0.03217588224193244
2020-02-27,-0.036990135963743
2020-02-28,-0.03407851690294438
2020-02-29,-0.0323511845510651
2020-03-01,-0.030982341122977687
2020-03-02,-0.030099594245665807
2020-03-03,-0.0389937106918239
2020-03-04,-0.02842771130249219
2020-03-05,-0.0315252665739453
2020-03-06,-0.029400168966488314
2020-03-07,-0.02791706193251118
2020-03-08,-0.03484517745977848
2020-03-09,-0.03351561121890986
2020-03-10,-0.028151716971328705
2020-03-11,-0.032683235251203736
2020-03-12,-0.028014987800627396
2020-03-13,-0.022691663515046735
2020-03-14,-0.030895260386190754
2020-03-15,-0.02653627120665494
2020-03-16,-0.030112991295885818
2020-03-17,-0.028913311421528348
2020-03-18,-0.024747237244298143
2020-03-19,-0.02042824345218573
2020-03-20,-0.02085559211932134
2020-03-21,-0.024527988483472676
2020-03-22,-0.02051001352308584
2020-03-23,-0.028186658315064204
2020-03-24,-0.027716994894237783
2020-03-25,-0.018994855559952513
2020-03-26,-0.02216216216216216
2020-03-27,-0.020823139237753495
2020-03-28,-0.020263238445056626
2020-03-29,-0.02605824179584574
2020-03-30,-0.02726346484910234
2020-03-31,-0.02553847911786551
2020-04-01,-0.027947424322889006
2020-04-02,-0.02928377153218495
2020-04-03,-0.025469195636131554
2020-04-04,-0.025783118474012715
2020-04-05,-0.01906861394323505
2020-04-06,-0.02647319968222814
2020-04-07,-0.032008140798815886
2020-04-08,-0.0390625
2020-04-09,-0.02547439563296075
2020-04-10,-0.029648101967303962
2020-04-11,-0.029054215688406586
2020-04-12,-0.029634592588774933
2020-04-13,-0.02657261919795068
2020-04-14,-0.034302676275437316
2020-04-15,-0.027899696141923207
2020-04-16,-0.029374297489696517
2020-04-17,-0.026157208131911795
2020-04-18,-0.028705002337540905
2020-04-19,-0.02896500372300819
2020-04-20,-0.02572268495835375
2020-04-21,-0.02696272799365583
2020-04-22,-0.026032251066599177
2020-04-23,-0.019546683302141817
2020-04-24,-0.024892056390781875
2020-04-25,-0.029911903298504405
